ThermalExpansionCoefficient_arithmetic_average,BCCenergy_pa_arithmetic_average,ThirdIonizationEnergy_arithmetic_average,Density_composition_average,IsPnictide_composition_average,HeatCapacityMolar_composition_average,valence_arithmetic_average,HeatFusion_arithmetic_average,HeatFusion_composition_average,IonicRadii_composition_average,SpaceGroupNumber_composition_average,GSenergy_pa_arithmetic_average,ThermalExpansionCoefficient_composition_average,BCCfermi_arithmetic_average,AtomicWeight_composition_average,AtomicNumber_composition_average,CovalentRadii_arithmetic_average,phi_arithmetic_average,BCCfermi_composition_average,HeatVaporization_composition_average,ElasticModulus_composition_average,NValance_composition_average,HeatCapacityMolar_arithmetic_average,GSbandgap_arithmetic_average,NUnfilled_composition_average
206.5,-1.86493228,53.34625,838.30378,0.0,36.7248,2.75,2.1412500000000003,2.313,1.2840000000000005,145.60000000000002,-2.885248729375,174.4,2.13192569,22.158668,10.0,0.8549999999999999,2.0125,1.750982278,62.558800000000005,4.0,5.2,39.691,2.3275,1.2
206.5,-1.8539107575,54.249,257.7393880000001,0.0,28.05852,2.75,1.62,2.1312000000000006,1.1916000000000002,148.40000000000003,-2.93560083375,178.08000000000004,2.18330041,13.743112800000002,6.560000000000001,0.8175,2.0125,1.5526790948000002,73.38515200000002,4.800000000000001,3.200000000000001,29.25575,2.5865,1.2000000000000002
206.5,-1.8539107575,54.249,225.644782,0.0,28.29708,2.75,1.62,1.9548,1.2384,146.3,-2.93560083375,175.32,2.18330041,13.3871292,6.44,0.8175,2.0125,1.7322313142,64.58663800000001,4.2,3.2000000000000006,29.25575,2.5865,1.2
206.5,-1.8539107575,54.249,214.94658,0.0,28.3766,2.75,1.62,1.8960000000000004,1.2540000000000002,145.60000000000002,-2.93560083375,174.4,2.18330041,13.268468,6.400000000000001,0.8175,2.0125,1.7920820540000002,61.6538,4.0,3.2,29.25575,2.5865,1.2
206.5,-1.8539107575,54.249,289.8339940000001,0.0,27.81996,2.75,1.62,2.3076000000000003,1.1448,150.5,-2.93560083375,180.84,2.18330041,14.099096400000002,6.680000000000001,0.8175,2.0125,1.3731268754,82.183666,5.4,3.2000000000000006,29.25575,2.5865,1.2000000000000002
238.25,-2.4907170725000003,61.794,387.9506923076923,0.0769230769230769,27.21715384615384,3.75,6.239999999999999,3.1415384615384614,1.0415384615384615,115.38461538461536,-3.452905403125,331.0,3.8953327975,14.46690476923077,6.9230769230769225,1.0025,2.1,2.231654487692308,70.94265384615383,5.0,3.692307692307692,28.00275,1.0295,1.5384615384615383
209.225,-4.397106445,54.88725,1465.5975,0.0,27.44175,2.5,7.604999999999999,3.504,1.13664,113.22,-5.02504588875,404.5551,3.8259363575,34.96124775,15.321,1.165,2.3675,2.92590895516,143.61640000000003,16.972,3.999,26.677,0.0,3.081
61.4,-3.61334263,55.23825,1390.908,0.071,23.524524,4.0,18.36775,5.760616000000001,0.47039,137.103,-4.198132669062501,61.091800000000006,6.9937711275000005,21.621286102,10.568,1.105,3.2750000000000004,4.979149487139999,82.4479,21.225,3.808,22.8435,1.15,1.762
168.64,-5.887965064,43.9098,1755.8152617382614,0.0,27.506087912087903,3.0,13.398,3.9353446553446543,1.1408191808191803,111.2167832167832,-6.390316619,413.501898101898,4.147997796,38.02948175824176,16.503496503496503,1.2,2.704,3.0261709896303697,147.64450719280717,19.518481518481515,4.465534465534466,26.413599999999995,0.0,3.1108891108891106
169.64,-4.78574466,48.01379999999999,1462.0530709999998,0.0,27.439572,2.6,8.362000000000002,3.48756,1.1363599999999998,113.437,-5.312956666000001,403.8323,3.707166974,34.94755305,15.314,1.256,2.534,2.92107070787,143.3656891,16.9228,3.992,26.6476,0.0,3.082
